method;model;instance;sat;time;nodes;propagations;memory
SMT;base_model;23x23;true;0.984;7436;439412;21.53
SMT;base_model;24x24;true;1.172;7531;527852;22.11
SMT;base_model;25x25;true;2.296;10267;906606;29.4
SMT;base_model;26x26;true;18.432;23295;2385900;56.84
SMT;base_model;27x27;true;3.94;14291;1122428;36.77
SMT;base_model;28x28;true;37.466;32367;5398044;82.15
SMT;base_model;29x29;true;44.512;48695;7833701;80.21
SMT;base_model;30x30;true;6.008;6134;452326;44.07
SMT;base_model;31x31;true;1.404;5586;477150;44.07
SMT;base_model;32x32;true;132.063;124685;28828494;130.76
SMT;base_model;33x33;true;34.455;34530;4603388;70.41
SMT;base_model;34x34;true;7.254;10249;925691;82.15
SMT;base_model;35x35;true;24.671;28195;3962940;87.82
SMT;base_model;36x36;true;27.781;11203;1273816;91.33
SMT;base_model;37x37;true;305.86;198820;62031017;211.94
SMT;base_model;38x38;true;3.388;7515;1216248;87.82
SMT;base_model;39x39;true;192.324;172697;45713826;189.55
SMT;base_model;40x40;true;2.63;6383;859687;87.82
SMT;base_model;rotation_test;false;-;-;-;-
SMT;sym_model;8x8;true;0.021;52;140;211.94
SMT;sym_model;9x9;true;0.019;103;471;211.94
SMT;sym_model;10x10;true;0.021;374;607;87.82
SMT;sym_model;11x11;true;0.041;142;2295;87.82
SMT;sym_model;12x12;true;0.084;487;17402;87.82
SMT;sym_model;13x13;true;0.095;257;26864;87.82
SMT;sym_model;14x14;true;0.1;362;21240;87.82
SMT;sym_model;15x15;true;0.159;525;57603;87.82
SMT;sym_model;16x16;true;0.087;399;12846;87.82
SMT;sym_model;17x17;true;0.371;1088;165078;87.82
SMT;sym_model;18x18;true;25.06;20254;4655919;87.82
SMT;sym_model;19x19;true;1.458;3160;684733;87.82
SMT;sym_model;20x20;true;0.651;3022;313670;87.82
SMT;sym_model;21x21;true;1.386;4354;629898;87.82
SMT;sym_model;22x22;true;0.371;1802;98081;87.82
SMT;sym_model;23x23;true;23.778;17883;3802390;87.82
SMT;sym_model;24x24;true;3.223;9188;969847;87.82
SMT;sym_model;25x25;true;8.041;6649;1113972;87.82
SMT;sym_model;26x26;true;24.968;22894;4452757;130.76
SMT;sym_model;27x27;true;10.064;14148;2083453;87.82
SMT;sym_model;28x28;true;8.32;9009;1132277;87.82
SMT;sym_model;29x29;true;33.789;24402;3906977;88.6
SMT;sym_model;30x30;true;13.749;13058;1021942;130.76
SMT;sym_model;31x31;true;11.827;4628;500544;130.76
SMT;sym_model;32x32;true;320.9;162248;72507269;228.93
SMT;sym_model;33x33;true;57.685;48708;13329045;88.77
SMT;sym_model;34x34;true;15.569;12762;1623818;88.77
